ammo_bag	consumable
ammo_bag_infinite	consumable
ammo_container	weapon
ammo_dgk	weapon
ammo_fireext	weapon
ammo_shell	weapon
ams_catalyst_aluminium	control
ams_catalyst_beryllium	control
ams_catalyst_blank	control
ams_catalyst_caesium	control
ams_catalyst_cerium	control
ams_catalyst_cobalt	control
ams_catalyst_copper	control
ams_catalyst_dineutronium	control
ams_catalyst_euphemium	control
ams_catalyst_iron	control
ams_catalyst_lithium	control
ams_catalyst_niobium	control
ams_catalyst_schrabidium	control
ams_catalyst_strontium	control
ams_catalyst_thorium	control
ams_catalyst_tungsten	control
ams_core_eyeofharmony	control
ams_core_sing	control
ams_core_wormhole	control
ams_lens	control
analysis_tool	consumable
anchor_remote	consumable
ancient_scrap	block
anvil_arsenic_bronze	machine
anvil_bismuth_bronze	machine
anvil_desh	machine
anvil_dnt	machine
anvil_ferrouranium	machine
anvil_iron	machine
anvil_lead	machine
anvil_murky	machine
anvil_osmiridium	machine
anvil_saturnite	machine
anvil_schrabidate	machine
anvil_steel	machine
apple_lead	consumable
apple_schrabidium	consumable
arc_electrode	control
arc_electrode_burnt	control
asbestos_cloth	parts
ash_digamma	machine
asphalt	block
asphalt_light	block
asphalt_stairs	block
assembly_nuke	parts
balefire_and_ham	consumable
balefire_scrambled	consumable
ball_dynamite	parts
ball_fireclay	parts
ball_resin	parts
ball_tatb	parts
ball_tnt	parts
ballistite	parts
barbed_wire	block
barbed_wire_acid	block
barbed_wire_fire	block
barbed_wire_poison	block
barbed_wire_ultradeath	block
barbed_wire_wither	block
barrel_antimatter	machine
barrel_plastic	machine
barrel_steel	machine
barrel_tcalloy	machine
basalt	block
basalt_brick	block
basalt_polished	block
basalt_smooth	block
basalt_tiles	block
battery_creative	control
battery_potato	control
battery_potatos	control
battery_sc	control
battery_spark	nuke
battery_trixite	nuke
bdcl	consumable
bedrock_ore	parts
bedrock_ore_base	parts
bedrock_ore_fragment	parts
billet_actinium	parts
billet_am_mix	parts
billet_am241	parts
billet_am242	parts
billet_americium_fuel	parts
billet_au198	parts
billet_australium	parts
billet_australium_greater	parts
billet_australium_lesser	parts
billet_balefire_gold	parts
billet_beryllium	parts
billet_bismuth	parts
billet_co60	parts
billet_cobalt	parts
billet_flashlead	parts
billet_gh336	parts
billet_hes	parts
billet_les	parts
billet_mox_fuel	parts
billet_neptunium	parts
billet_neptunium_fuel	parts
billet_nuclear_waste	parts
billet_pb209	parts
billet_plutonium	parts
billet_plutonium_fuel	parts
billet_po210be	parts
billet_polonium	parts
billet_pu_mix	parts
billet_pu238	parts
billet_pu238be	parts
billet_pu239	parts
billet_pu240	parts
billet_pu241	parts
billet_ra226	parts
billet_ra226be	parts
billet_schrabidium	parts
billet_schrabidium_fuel	parts
billet_silicon	parts
billet_solinium	parts
billet_sr90	parts
billet_technetium	parts
billet_th232	parts
billet_thorium_fuel	parts
billet_u233	parts
billet_u235	parts
billet_u238	parts
billet_uranium	parts
billet_uranium_fuel	parts
billet_uzh	parts
billet_yharonite	parts
billet_zfb_am_mix	parts
billet_zfb_bismuth	parts
billet_zfb_pu241	parts
billet_zirconium	parts
bio_wafer	parts
biomass	parts
biomass_compressed	parts
black_hole	control
blade_meteorite	parts
blade_titanium	parts
blade_tungsten	parts
blades_desh	control
blades_steel	control
blades_titanium	control
blast_door	machine
block_actinium	block
block_aluminium	block
block_asbestos	block
block_australium	block
block_bakelite	block
block_beryllium	block
block_bismuth	block
block_boron	block
block_c4	block
block_cadmium	block
block_cap	block
block_cdalloy	block
